Plot	Habitat	bnb.fai
1	east	3.877732002
2	east	1.216746089
3	east	0.87537814
4	east	0.230008712
5	east	0
6	east	0
7	east	0
8	east	0
9	east	0
10	east	0.909242745
11	east	0
12	east	0
13	east	0
14	east	0
15	east	0
16	east	0.042117858
17	east	0
18	east	0.275341917
19	east	0
20	east	0
21	east	0
22	east	0.179072527
23	east	0
24	east	0
25	east	0.032599159
26	east	0.096301226
27	east	0.025468093
28	east	0
29	east	0.025858073
30	east	0
31	east	1.432580216
32	east	1.324850184
33	east	0
34	east	0
35	east	0
36	east	0
37	east	0
38	east	5.144682066
39	east	0
40	east	0
1	west	0.224628578
2	west	0.501999984
3	west	0.065397287
4	west	0.013378707
5	west	0
6	west	0
7	west	0
8	west	0
9	west	0
12	west	0.017580943
13	west	0
14	west	0
15	west	0
16	west	0
17	west	0
18	west	0
19	west	0.290344216
20	west	0
21	west	0
22	west	0
23	west	0.196175943
24	west	0
25	west	0
26	west	0
27	west	0.588527829
28	west	0
29	west	0
30	west	0
31	west	0
32	west	0
33	west	0
34	west	0
35	west	0
36	west	0
37	west	1.101001566
38	west	0
39	west	0
40	west	0.281295084
10	west	0
11	west	0
