Plot	Habitat	tot.bnb.trees
1	east	3
2	east	3
3	east	3
4	east	2
5	east	3
6	east	4
7	east	2
8	east	2
9	east	1
10	east	5
11	east	2
12	east	4
13	east	4
14	east	1
15	east	3
16	east	1
17	east	3
18	east	5
19	east	4
20	east	3
21	east	4
22	east	4
23	east	4
24	east	4
25	east	3
26	east	5
27	east	2
28	east	4
29	east	2
30	east	2
31	east	2
32	east	3
33	east	1
34	east	4
35	east	2
36	east	3
37	east	4
38	east	2
39	east	3
40	east	4
1	west	1
2	west	3
3	west	6
4	west	3
5	west	3
6	west	2
7	west	2
8	west	3
9	west	5
12	west	4
13	west	5
14	west	5
15	west	3
16	west	5
17	west	4
18	west	2
19	west	5
20	west	1
21	west	2
22	west	1
23	west	2
24	west	2
25	west	6
26	west	3
27	west	2
28	west	4
29	west	1
30	west	4
31	west	3
32	west	2
33	west	1
34	west	6
35	west	4
36	west	2
37	west	6
38	west	4
39	west	2
40	west	6
10	west	0
11	west	0
