subj	subj.sex	context	cort.log	date	time	time.z
Gw	F	East	6.484443902	03.27.17	9.333333333	-0.529116284
Be	M	East	5.426026259	03.29.17	16.65	1.330727172
Ng	F	East	5.409268042	03.29.17	13.18333333	0.449525717
Um	F	East	5.299928153	03.30.17	15.51666667	1.042642081
Ca	M	East	4.615507331	03.31.17	17.16666667	1.462060081
Zo	F	East	4.953967174	04.03.17	16.31666667	1.245996263
Um	F	East	5.789478255	04.04.17	7.35	-1.033265194
Po	F	East	5.765648699	04.07.17	7.416666667	-1.016319012
Ri	F	East	5.94875136	04.09.17	14.58333333	0.805395535
Gw	F	East	5.425755943	04.10.17	6.916666667	-1.143415376
Gw	F	East	4.184094522	04.17.17	17.58333333	1.567973718
Ma	F	East	4.581282366	04.25.27	15.5	1.038405536
Ca	M	East	4.996026185	04.26.17	15.56666667	1.055351717
Ca	M	East	6.245095108	04.27.17	6.766666667	-1.181544285
Gw	F	East	4.497521496	04.28.17	9.4	-0.512170102
Ri	F	East	5.052466127	04.28.17	9.966666667	-0.368127557
Po	F	East	4.818656277	04.29.17	15.08333333	0.932491899
Dj	F	East	5.262047836	04.30.17	7.75	-0.931588103
Nn	F	East	4.790241687	05.01.17	14.83333333	0.868943717
Nn	F	East	4.678952826	05.01.17	15.86666667	1.131609536
Gw	F	East	5.868747059	05.02.17	9.283333333	-0.541825921
Gw	F	East	5.731242851	05.02.17	9.6	-0.461331557
Ri	F	East	6.995349817	05.02.17	6.833333333	-1.164598103
Po	F	East	4.319622785	05.04.17	16.2	1.216340445
Ir	F	IGE	4.963653967	03.20.17	13.31666667	0.48341808
Ja	M	IGE	5.669461352	03.20.17	13.46666667	0.52154699
Pa	F	IGE	5.663048059	03.20.17	13.43333333	0.513073899
Ir	F	IGE	5.862909403	03.28.17	10.63333333	-0.198665738
Be	M	IGE	5.33377678	03.31.17	10.63333333	-0.198665738
Ng	F	IGE	4.605379087	03.31.17	9.133333333	-0.57995483
Po	F	IGE	5.20248877	03.31.17	9.566666667	-0.469804648
Ca	M	IGE	4.698905511	04.01.17	16.23333333	1.224813536
Ng	F	IGE	4.542905819	04.01.17	15.3	0.98756699
Pa	F	IGE	5.098455907	04.01.17	16.2	1.216340445
Po	F	IGE	4.287731935	04.02.17	10.83333333	-0.147827193
Ca	M	IGE	5.745840692	04.04.17	17.53333333	1.555264081
Ri	F	IGE	5.418535734	04.04.17	17.48333333	1.542554445
Be	M	IGE	6.601307782	04.07.17	15.5	1.038405536
Ir	F	IGE	5.788125546	04.07.17	10.33333333	-0.274923557
Ng	F	IGE	4.162690066	04.07.17	14.58333333	0.805395535
Ca	M	IGE	4.102623148	04.08.17	16.38333333	1.262942445
Ka	F	IGE	4.539893626	04.08.17	11.08333333	-0.084279011
Pa	F	IGE	5.854925938	04.08.17	11.41666667	0.000451898
Pa	F	IGE	3.640833106	04.08.17	16.35	1.254469354
Gw	F	IGE	5.727180484	04.18.17	12.3	0.224988807
Um	F	IGE	6.484922944	04.24.27	13.11666667	0.432579535
