date	fusion.id	time.begin	fusion.type	num.bef	num.join	tot.after.fuse	resident	sex.res	dur.event	friendly.yn
3/20/17	3_20	09:05	IGE	19	13	32	Gw	f	>1	1
3/20/17	3_20	09:05	IGE	19	13	32	Ng	f	>1	1
3/20/17	3_20	09:05	IGE	19	13	32	Nn	f	>1	0
3/20/17	3_20	09:05	IGE	19	13	32	Ol	f	>1	0
3/20/17	3_20	09:05	IGE	19	13	32	Pa	f	>1	1
3/20/17	3_20	09:05	IGE	19	13	32	Um	f	>1	0
3/20/17	3_20	09:05	IGE	19	13	32	Zo	f	>1	0
3/20/17	3_20	09:05	IGE	19	13	32	Ja	m	>1	0
3/20/17	3_20	09:05	IGE	19	13	32	Ze	m	>1	0
3/23/17	3_23	13:21	Base	11	7	18	Ka	f	>1	1
3/23/17	3_23	13:21	Base	11	7	18	Ng	f	>1	1
3/23/17	3_23	13:21	Base	11	7	18	Ol	f	>1	1
3/23/17	3_23	13:21	Base	11	7	18	Ri	f	>1	1
3/23/17	3_23	13:21	Base	11	7	18	Um	f	>1	1
3/23/17	3_23	13:21	Base	11	7	18	Ca	m	>1	1
3/28/17	3_28a	07:25	IGE	13	6	19	Ir	f	>1	1
3/28/17	3_28a	07:25	IGE	13	6	19	Ka	f	>1	0
3/28/17	3_28a	07:25	IGE	13	6	19	Lu	f	>1	0
3/28/17	3_28a	07:25	IGE	13	6	19	Ol	f	>1	0
3/28/17	3_28a	07:25	IGE	13	6	19	Pa	f	>1	0
3/28/17	3_28a	07:25	IGE	13	6	19	Ri	f	>1	0
3/28/17	3_28a	07:25	IGE	13	6	19	Um	f	>1	0
3/28/17	3_28a	07:25	IGE	13	6	19	Ja	m	>1	0
3/28/17	3_28b	09:38	Base	4	1	5	Ir	f	<1	0
3/28/17	3_28b	09:38	Base	4	1	5	Ka	f	<1	0
3/28/17	3_28b	09:38	Base	4	1	5	Ol	f	<1	0
3/28/17	3_28b	09:38	Base	4	1	5	Pa	f	<1	0
3/31/17	3_31	06:15	IGE	18	8	26	Ir	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Ka	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Lu	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Ma	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Ng	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Ol	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Po	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Ri	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Um	f	>1	1
3/31/17	3_31	06:15	IGE	18	8	26	Zo	f	>1	0
3/31/17	3_31	06:15	IGE	18	8	26	Ca	m	>1	1
3/31/17	3_31	06:15	IGE	18	8	26	Ro	m	>1	0
4/1/17	4_1	12:00	IGE	14	6	20	Lu	f	>1	0
4/1/17	4_1	12:00	IGE	14	6	20	Pa	f	>1	1
4/1/17	4_1	12:00	IGE	14	6	20	Po	f	>1	0
4/1/17	4_1	12:00	IGE	14	6	20	Um	f	>1	0
4/1/17	4_1	12:00	IGE	14	6	20	Zo	f	>1	1
4/1/17	4_1	12:00	IGE	14	6	20	Be	m	>1	1
4/1/17	4_1	12:00	IGE	14	6	20	Ja	m	>1	1
4/2/17	4_2	06:40	IGE	14	12	26	Ka	f	>1	1
4/2/17	4_2	06:40	IGE	14	12	26	Lu	f	>1	0
4/2/17	4_2	06:40	IGE	14	12	26	Ma	f	>1	1
4/2/17	4_2	06:40	IGE	14	12	26	Ng	f	>1	1
4/2/17	4_2	06:40	IGE	14	12	26	Ol	f	>1	1
4/2/17	4_2	06:40	IGE	14	12	26	Po	f	>1	1
4/2/17	4_2	06:40	IGE	14	12	26	Um	f	>1	0
4/2/17	4_2	06:40	IGE	14	12	26	Zo	f	>1	0
4/2/17	4_2	06:40	IGE	14	12	26	Be	m	>1	1
4/2/17	4_2	06:40	IGE	14	12	26	Ca	m	>1	1
4/2/17	4_2	06:40	IGE	14	12	26	Ze	m	>1	0
4/3/17	4_3	14:20	IGE	11	10	21	Gw	f	>1	0
4/3/17	4_3	14:20	IGE	11	10	21	Lu	f	>1	1
4/3/17	4_3	14:20	IGE	11	10	21	Ol	f	>1	0
4/3/17	4_3	14:20	IGE	11	10	21	Pa	f	>1	0
4/3/17	4_3	14:20	IGE	11	10	21	Po	f	>1	0
4/3/17	4_3	14:20	IGE	11	10	21	Um	f	>1	0
4/3/17	4_3	14:20	IGE	11	10	21	Zo	f	>1	0
4/7/17	4_7a	06:32	IGE	13	12	25	Ka	f	>1	1
4/7/17	4_7a	06:32	IGE	13	12	25	Po	f	>1	0
4/7/17	4_7a	06:32	IGE	13	12	25	Um	f	>1	0
4/7/17	4_7a	06:32	IGE	13	12	25	Zo	f	>1	0
4/7/17	4_7a	06:32	IGE	13	12	25	Be	m	>1	0
4/7/17	4_7a	06:32	IGE	13	12	25	Em	m	>1	0
4/7/17	4_7a	06:32	IGE	12	12	25	Ze	m	>1	0
4/7/17	4_7b	11:15:00	IGE	15	11	26	Ng	f	>1	0
4/7/17	4_7b	11:15:00	IGE	15	11	26	Ol	f	>1	0
4/7/17	4_7b	11:15:00	IGE	15	11	26	Po	f	>1	0
4/7/17	4_7b	11:15:00	IGE	15	11	26	Be	m	>1	0
4/7/17	4_7b	11:15:00	IGE	15	11	26	Ca	m	>1	0
4/7/17	4_7b	11:15:00	IGE	15	11	26	Ro	m	>1	0
4/7/17	4_7b	11:15:00	IGE	15	11	26	Ze	m	>1	0
4/8/17	4_8	11:55:00	IGE	17	11	28	Gw	f	<1	0
4/8/17	4_8	11:55:00	IGE	17	11	28	Ja	m	<1	0
4/8/17	4_8	11:55:00	IGE	17	11	28	Ro	m	<1	0
4/9/17	4_9	15:30:00	IGE	12	14	26	Lu	f	<1	0
4/9/17	4_9	15:30:00	IGE	12	14	26	Ol	f	<1	0
4/9/17	4_9	15:30:00	IGE	12	14	26	Pa	f	<1	1
4/9/17	4_9	15:30:00	IGE	12	14	26	Be	m	<1	0
4/11/17	4_11	13:55:21	Base	9	3	12	Gw	f	>1	0
4/11/17	4_11	13:55:21	Base	9	3	12	Ol	f	>1	0
4/18/17	4_18	07:14:40	IGE	15	9	24	Ir	f	>1	0
4/18/17	4_18	07:14:40	IGE	15	9	24	Ka	f	>1	0
4/18/17	4_18	07:14:40	IGE	15	9	24	Lu	f	>1	0
4/18/17	4_18	07:14:40	IGE	15	9	24	Ma	f	>1	1
4/18/17	4_18	07:14:40	IGE	15	9	24	Pa	f	>1	1
4/18/17	4_18	07:14:40	IGE	15	9	24	Zo	f	>1	0
4/18/17	4_18	07:14:40	IGE	15	9	24	Be	m	>1	1
4/18/17	4_18	07:14:40	IGE	15	9	24	Ca	m	>1	0
4/18/17	4_18	07:14:40	IGE	15	9	24	Ja	m	>1	0
4/18/17	4_18	07:14:40	IGE	15	9	24	Ze	m	>1	0
4/27/17	4_27	09:00:07	Base	10	3	13	Dj	f	>1	0
4/27/17	4_27	09:00:07	Base	10	3	13	Ka	f	>1	1
4/27/17	4_27	09:00:07	Base	10	3	13	Ma	f	>1	1
4/27/17	4_27	09:00:07	Base	10	3	13	Ng	f	>1	0
4/27/17	4_27	09:00:07	Base	10	3	13	Ol	f	>1	1
4/27/17	4_27	09:00:07	Base	10	3	13	Pa	f	>1	1
