subj	location	ic	date	tot_food_scans	num_fleshy_fruit_scans	sex	loc.code	elo.score	prop.dom.by.sex
Ap	West	0	6/4/17	1	0	M	0	863	0.142857143
Ap	West	0	6/6/17	2	1	M	0	863	0.142857143
Ap	West	0	6/7/17	4	3	M	0	863	0.142857143
Ap	West	0	6/8/17	2	1	M	0	863	0.142857143
Ap	West	0	6/19/17	1	1	M	0	863	0.142857143
Ap	West	0	6/25/17	1	0	M	0	863	0.142857143
Ap	West	0	6/26/17	2	0	M	0	863	0.142857143
Ap	West	0	6/28/17	1	0	M	0	863	0.142857143
Ap	West	0	6/29/17	1	1	M	0	863	0.142857143
Be	East	0	3/20/17	1	1	M	1	1260	0.714285714
Be	West	0	3/23/17	1	1	M	0	1260	0.714285714
Be	West	0	3/24/17	4	1	M	0	1260	0.714285714
Be	East	0	3/29/17	2	2	M	1	1260	0.714285714
Be	East	IC	3/31/17	1	1	M	1	1260	0.714285714
Be	East	0	4/1/17	1	1	M	1	1260	0.714285714
Be	East	0	4/3/17	1	0	M	1	1260	0.714285714
Be	East	0	4/7/17	1	0	M	1	1260	0.714285714
Be	East	IC	4/7/17	5	4	M	1	1260	0.714285714
Be	East	IC	4/8/17	1	0	M	1	1260	0.714285714
Be	East	IC	4/9/17	1	1	M	1	1260	0.714285714
Be	East	0	4/10/17	1	1	M	1	1260	0.714285714
Be	West	0	4/20/17	6	3	M	0	1260	0.714285714
Be	West	0	4/21/17	1	1	M	0	1260	0.714285714
Be	East	0	4/24/17	1	1	M	1	1260	0.714285714
Be	East	0	4/29/17	3	2	M	1	1260	0.714285714
Be	East	0	5/2/17	1	1	M	1	1260	0.714285714
Be	East	0	5/3/17	1	0	M	1	1260	0.714285714
Be	East	0	5/4/17	2	2	M	1	1260	0.714285714
Be	East	0	5/7/17	3	2	M	1	1260	0.714285714
Be	East	0	5/10/17	1	1	M	1	1260	0.714285714
Be	East	0	5/19/17	2	0	M	1	1260	0.714285714
Be	East	0	5/20/17	1	1	M	1	1260	0.714285714
